2025-07-01 03:36:04,208 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:36:04,208 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:36:04,208 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:36:04,208 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:38:37,682 | YOLOv8 | INFO | Train Epoch 0 [0/87] Loss: 0.7695 | Cls: 0.7695 | BBox: 0.0000 | DFL: 0.0000
2025-07-01 03:56:34,083 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:56:34,154 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:56:43,684 | YOLOv8 | INFO | 🎯 Запуск обучения YOLOv8 для сегментации глаз
2025-07-01 03:56:43,684 | YOLOv8 | INFO | 📊 Конфигурация: {'device': 'auto', 'input_size': 640, 'confidence_threshold': 0.25, 'iou_threshold': 0.5, 'num_classes': 2, 'model_type': 'detection', 'epochs': 100, 'learning_rate': 0.01, 'batch_size': 16, 'pretrained': True, 'name': 'eye_detection_dataset', 'class_names': ['normal_eye', 'cataract_eye'], 'train_path': '/Users/bagdasaryanproduction/Eye Segmentation/Dataset/train/images', 'val_path': '/Users/bagdasaryanproduction/Eye Segmentation/Dataset/val/images', 'test_path': '/Users/bagdasaryanproduction/Eye Segmentation/Dataset/test/images', 'num_workers': 4, 'shuffle': True, 'pin_memory': False, 'drop_last': False, 'early_stopping': {'enabled': True, 'patience': 20, 'min_delta': 0.001}, 'checkpoint': {'save_best': True, 'save_last': True, 'save_every': 10}, 'validation': {'interval': 1, 'save_predictions': True}}
2025-07-01 03:56:43,684 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:56:43,737 | YOLOv8 | INFO | 🔧 Настройка компонентов обучения...
2025-07-01 03:56:48,955 | YOLOv8 | INFO | ✅ Загружена предобученная YOLOv8n модель
2025-07-01 03:56:48,955 | YOLOv8 | INFO | ✅ Оптимизатор настроен автоматически через Ultralytics
2025-07-01 03:56:48,956 | YOLOv8 | INFO | ✅ Планировщик настроен автоматически через Ultralytics
2025-07-01 03:56:48,956 | YOLOv8 | INFO | ✅ Все компоненты настроены!
2025-07-01 03:56:48,956 | YOLOv8 | INFO | 🚀 Начинаем обучение YOLOv8...
2025-07-01 03:56:48,963 | YOLOv8 | INFO | ✅ Создан dataset.yaml: dataset.yaml
2025-07-01 03:56:49,353 | YOLOv8 | ERROR | ❌ Ошибка во время обучения: Dataset 'dataset.yaml' error ❌ could not determine a constructor for the tag 'tag:yaml.org,2002:python/object:omegaconf.listconfig.ListConfig'
  in "<unicode string>", line 1, column 8
2025-07-01 03:59:23,832 | YOLOv8 | INFO | 🎯 Запуск обучения YOLOv8 для детекции глаз
2025-07-01 03:59:23,832 | YOLOv8 | INFO | 📊 Конфигурация:
2025-07-01 03:59:23,832 | YOLOv8 | INFO |    🏷️  Классы: ['normal_eye', 'cataract_eye']
2025-07-01 03:59:23,832 | YOLOv8 | INFO |    📈 Эпохи: 100
2025-07-01 03:59:23,832 | YOLOv8 | INFO |    📦 Batch size: 16
2025-07-01 03:59:23,832 | YOLOv8 | INFO |    🖼️  Размер изображения: 640
2025-07-01 03:59:23,889 | YOLOv8 | INFO | 🚀 Начинаем обучение YOLOv8 для детекции глаз...
2025-07-01 03:59:23,889 | YOLOv8 | INFO | ✅ Создан dataset.yaml:
2025-07-01 03:59:23,889 | YOLOv8 | INFO |    📁 Путь: /Users/bagdasaryanproduction/Eye Segmentation/Dataset/train
